faction|itemId|price|title
Necrons|168516568188|$1,000.00|Warhammer 40k Necron Army Lot Painted
Space Marines|198342887039|$1,012.44 to $2,952.94|2000 Point Salamanders Army Pro Painted Warhammer 40k Made-To-Order
Tyranids|198342887329|$1,012.44 to $2,952.94|2000 Point Tyranids Army Pro Painted Warhammer 40k Made-To-Order
Necrons|188174994197|$1,300.00 OBO|Painted Necron Army 40k
Necrons|358228271444|$600.00 OBO|Warhammer 40k Necrons army
Grey Knights|407051501191|$1,500.00 OBO|warhammer 40k grey knights army painted
Necrons|356103443472|$900.00 OBO|Warhammer 40k Necron Army Lot Pro Painted
Imperial Knights|407053905363|$700.00 OBO|warhammer 40k knight army
Chaos Space Marines|298391383055|$2,850.00 OBO|GW Warhammer 40K Alpha Legion theme Space Marine army
Space Marines|227338692730|$3,080.16 OBO|Warhammer 40k Pro Painted Ultramarines Army
Necrons|168501751335|$800.00|warhammer 40k necron army painted
Necrons|206310056879|$1,004.40 OBO|Warhammer 40K Necrons Army Painted
Tyranids|178288751155|$950.00|Warhammer 40k Genestealer Cults Army Well Painted
Other/Mixed|198342900375|$1,265.54 to $3,585.71|2000 Point White Scars Army Pro Painted Made-To-Order
Blood Angels|198342901546|$1,012.44 to $2,952.94|2000 Point Blood Angels Army Pro Painted Made-To-Order
Grey Knights|298484927539|$699.97|WARHAMMER 40K GREY KNIGHTS FULL ARMY USED
Astra Militarum|298442606351|$599.99|Warhammer 40k 100+ Astra Militarum Cadian Army
Black Templars|376884161981|$1,400.00 OBO|Warhammer 40K Black Templars Army Painted
Chaos Space Marines|117273966525|$2,544.48 OBO|Iron Warriors Fully Painted Army - Horus Heresy
Chaos Daemons|157615874988|$1,375.00|Khorne Daemon Army Warhammer 40k Painted
T'au|168385252135|$1,100.00 OBO|Warhammer 40k PAINTED Tau Empire Complete Army
Necrons|147259563854|$1,200.00 OBO|Necron Army Warhammer 40k
Space Marines|188520853554|$1,250.00 OBO|Warhammer 40K Carcharodons Space Marines Army
Tyranids|137288167422|$1,200.00 OBO|Warhammer 40k Tyranids Army Mega Swarm mostly painted
Other/Mixed|206209580728|$1,352.59 OBO|warhammer 40k army
Tyranids|178244876425|$735.00 OBO|Warhammer 40K Tyranids Army Lot Painted Assembled
Tyranids|317914780462|$778.97|Games Workshop Warhammer 40k Genestealer Cult
Grey Knights|157911255217|$1,000.00 OBO|Warhammer 40k Army Grey Knights Army Painted
Necrons|204253512542|$176.40 to $1,543.50|Necrons Pro Painted Army Builder - Warhammer 40k Commission
Deathwatch|198342893443|$1,265.54 to $3,585.71|2000 Point DeathWatch Army Pro Painted Made-To-Order
Dark Angels|198342900941|$1,012.44 to $2,952.94|2000 Point Dark Angels Army Pro Painted Made-To-Order
Imperial Knights|158060621854|$281.46 OBO|Pro Painted Warhammer 40k Forge World Imperial Knight
Orks|366492914879|$290.00 OBO|Warhammer 40k Ork Army Partially Painted Lot
Space Marines|137439531023|$450.00|Warhammer 40k Ultramarines Infantry Army Painted
Adeptus Custodes|287230155783|$1,138.32 OBO|Warhammer 40k Custodes Army Expert Painted
Necrons|135344646246|$1,607.04 OBO|Warhammer 40K Necron Army 3 Fully Painted
Imperial Knights|188520176052|$1,100.00 OBO|Games Workshop Warhammer 40K Imperial Knight
Other/Mixed|188394125151|$1,749.00 OBO|Warhammer 40k Emperor's Children Army Bundle
Space Marines|198342887420|$1,012.44 to $2,952.94|2000 Point Iron Hands Army Pro Painted Made-To-Order
Thousand Sons|335353595553|$70.00 to $680.00|Warhammer 40k Thousand Sons Army w/ Paint Service Commission
Thousand Sons|147256329353|$1,200.00 OBO|Thousand Sons Army Warhammer 40k
Imperial Knights|147421972986|$1,500.00 OBO|Warhammer 40,000 Imperial Knight Army Painted
Necrons|376706975741|$535.68|Warhammer 40K Necrons Army Lot Winter Theme
Necrons|135344646247|$1,607.04 OBO|Warhammer 40K Necron Army 2 Fully Painted
Thousand Sons|257290297677|$1,100.00 OBO|Warhammer 40K Thousand Sons And Tzeentch Daemons
Adeptus Custodes|307039083053|$700.00 OBO|Warhammer 40 Adeptus Custodes Army Painted 2000pts
Chaos Knights|168502725654|$1,500.00 OBO|Warhammer 40K Chaos Knights Army Painted Awaken Realm
Grey Knights|318547804713|$450.00|Warhammer 40K Grey Knights Painted
Death Guard|136125717892|$2,678.40|Death Guard Army Painted Warhammer 40k Chaos
Death Guard|398019957394|$950.00|Warhammer 40k Death Guard Army Lot Mostly painted
Tyranids|366519436842|$225.00|Warhammer 40k Tyranid Army Lot
Space Marines|227349206882|$989.99 OBO|Warhammer 40K Imperial Fists Army Pro Painted w Case
Emperor's Children|318524881407|$360.00 OBO|Emperor's Children Army Lot Warhammer 40K Bundle
Tyranids|206149396177|$849.99 OBO|Warhammer 40k Tyranid Army Lot 2500 POINTS
Black Templars|177743293466|$1,300.00 OBO|Warhammer 40K Black Templar Army Painted
Tyranids|406995862984|$1,200.00 OBO|Warhammer 40k Genestealer Cult Army lot
Necrons|178288744938|$1,100.00|warhammer 40k necron army well painted battle ready destroyers doomsday ark
Space Marines|286464526445|$570.00 OBO|Warhammer 40k Painted Salamanders Army Tabletop
Chaos Daemons|336622019739|$70.00 to $600.00|Warhammer 40k Chaos Daemons Army w/ Paint Service Commission
Adeptus Custodes|335353595559|$86.00 to $680.00|Warhammer 40k Adeptus Custodes Army w/ Paint Service Commission
Tyranids|335353595561|$70.00 to $680.00|Warhammer 40k Genestealer Cult Army w/ Paint Service Commission
Necrons|198342896119|$1,012.44 to $2,952.94|2000 Point Necrons Army Pro Painted Made-To-Order
Other/Mixed|157678052756|$329.99 OBO|Warhammer 40K Rogue Trader Squats Lot 45
Blood Angels|336673264492|$900.00 OBO|Pro Painted Blood Angels Recon Assault Army
Space Marines|188592741329|$950.00 OBO|Warhammer 40k Painted Salamanders Space Marines
Space Marines|206319622195|$450.00 OBO|Warhammer 40k Space Marine Legion Of The Damned
Chaos Knights|127305038468|$700.00 OBO|Games Workshop Warhammer 40k Chaos Knight Army
Dark Angels|257605311354|$350.00|Warhammer 40k Dark Angels Army Lot
Aeldari|376923004933|$1,500.00 OBO|Warhammer 40K Aeldari Eldar Army Lot Painted
Adepta Sororitas|178128037442|$2,550.00 OBO|Warhammer 40K Stunning Sisters of Battle Adepta Sororitas
Space Marines|327104431045|$1,125.66 OBO|Warhammer 40k Space Marine Army lot
Chaos Space Marines|204254510906|$198.45 to $1,102.50|Chaos Space Marines Pro Painted Army Builder Commission
Space Marines|204253986020|$198.45 to $4,410.00|Space Marines Pro Painted Army Builder Commission
Space Marines|157987173489|$1,172.84 OBO|Pro Painted Warhammer 40k Space Marines Army 3k+ pts
Emperor's Children|227419881595|$3,481.92 OBO|Warhammer 40k Emperors Children Army Pro Painted
T'au|377315976469|$1,071.36 OBO|Warhammer 40K Large T'au Empire Army Lot
Astra Militarum|335353595581|$66.00 to $680.00|Warhammer 40k Astra Militarum Army w/ Paint Service Commission
Space Wolves|318512749624|$1,205.28 OBO|Warhammer 40k Space Wolves Army Set Painted
Necrons|126759596390|$1,740.96 OBO|Warhammer 40K Necron Army 5 Fully Painted
Black Templars|227419899142|$3,481.92 OBO|Warhammer 40k Black Templars Army Pro Painted
Necrons|306362993018|$175.00 OBO|Warhammer 40k Necron Lot
Death Guard|168507655449|$350.00 OBO|Warhammer 40k Painted Death Guard Combat Patrol
